start_date,end_date,zones,description
# ======== 2014-2015 ========
2014-10-18,2014-11-02,A,Toussaint
2014-10-18,2014-11-02,B,Toussaint
2014-10-18,2014-11-02,C,Toussaint

2014-12-20,2015-01-04,A,Noel
2014-12-20,2015-01-04,B,Noel
2014-12-20,2015-01-04,C,Noel

2015-02-14,2015-03-01,A,Hiver
2015-02-21,2015-03-08,B,Hiver
2015-02-07,2015-02-22,C,Hiver

2015-04-11,2015-04-26,A,Printemps
2015-04-25,2015-05-10,B,Printemps
2015-04-18,2015-05-03,C,Printemps

2015-07-04,2015-08-31,A,Ete
2015-07-04,2015-08-31,B,Ete
2015-07-04,2015-08-31,C,Ete

# ======== 2015-2016 ========
2015-10-17,2015-11-01,A,Toussaint
2015-10-17,2015-11-01,B,Toussaint
2015-10-17,2015-11-01,C,Toussaint

2015-12-19,2016-01-03,A,Noel
2015-12-19,2016-01-03,B,Noel
2015-12-19,2016-01-03,C,Noel

2016-02-13,2016-02-28,A,Hiver
2016-02-06,2016-02-21,B,Hiver
2016-02-20,2016-03-06,C,Hiver

2016-04-09,2016-04-24,A,Printemps
2016-04-02,2016-04-17,B,Printemps
2016-04-16,2016-04-30,C,Printemps

2016-07-05,2016-08-31,A,Ete
2016-07-05,2016-08-31,B,Ete
2016-07-05,2016-08-31,C,Ete

# ======== 2016-2017 ========
2016-10-20,2016-11-02,A,Toussaint
2016-10-20,2016-11-02,B,Toussaint
2016-10-20,2016-11-02,C,Toussaint

2016-12-17,2017-01-03,A,Noel
2016-12-17,2017-01-03,B,Noel
2016-12-17,2017-01-03,C,Noel

2017-02-18,2017-03-05,A,Hiver
2017-02-11,2017-02-26,B,Hiver
2017-02-25,2017-03-12,C,Hiver

2017-04-15,2017-05-01,A,Printemps
2017-04-08,2017-04-23,B,Printemps
2017-04-22,2017-05-07,C,Printemps

2017-07-08,2017-08-31,A,Ete
2017-07-08,2017-08-31,B,Ete
2017-07-08,2017-08-31,C,Ete
